File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
key_app.o,0.042977%,37,1,36,0,1,0
_printf_truncate.o,0.041816%,36,0,36,0,0,0
_printf_char_file.o,0.041816%,36,0,36,0,0,0
libinit2.o,0.034846%,30,0,30,0,0,0
system_stm32f1xx.o,0.034846%,30,4,2,24,4,0
__scatter_zi.o,0.032523%,28,0,28,0,0,0
__scatter_copy.o,0.030200%,26,0,26,0,0,0
fcmpi.o,0.027877%,24,0,24,0,0,0
dcmpi.o,0.027877%,24,0,24,0,0,0
__2printf.o,0.027877%,24,0,24,0,0,0
_rserrno.o,0.025554%,22,0,22,0,0,0
strchr.o,0.023231%,20,0,20,0,0,0
stm32f1xx_it.o,0.023231%,20,0,20,0,0,0
exit.o,0.020908%,18,0,18,0,0,0
dcheck1.o,0.018585%,16,0,16,0,0,0
rt_ctype_table.o,0.018585%,16,0,16,0,0,0
aeabi_memset.o,0.018585%,16,0,16,0,0,0
_snputc.o,0.018585%,16,0,16,0,0,0
__printf_wp.o,0.016262%,14,0,14,0,0,0
dretinf.o,0.013939%,12,0,12,0,0,0
__rtentry2.o,0.013939%,12,0,12,0,0,0
stm32f1xx_hal_pwr.o,0.013939%,12,0,12,0,0,0
fretinf.o,0.011615%,10,0,10,0,0,0
rtexit2.o,0.011615%,10,0,10,0,0,0
_sputc.o,0.011615%,10,0,10,0,0,0
_printf_ll.o,0.011615%,10,0,10,0,0,0
_printf_l.o,0.011615%,10,0,10,0,0,0
qnan.o,0.009292%,8,0,0,8,0,0
rt_locale_intlibspace.o,0.009292%,8,0,8,0,0,0
rt_errno_addr_intlibspace.o,0.009292%,8,0,8,0,0,0
libspace.o,0.009292%,8,96,8,0,0,96
ferror.o,0.009292%,8,0,8,0,0,0
__main.o,0.009292%,8,0,8,0,0,0
heapauxi.o,0.006969%,6,0,6,0,0,0
_printf_x.o,0.006969%,6,0,6,0,0,0
_printf_u.o,0.006969%,6,0,6,0,0,0
_printf_s.o,0.006969%,6,0,6,0,0,0
_printf_p.o,0.006969%,6,0,6,0,0,0
_printf_o.o,0.006969%,6,0,6,0,0,0
_printf_n.o,0.006969%,6,0,6,0,0,0
_printf_ls.o,0.006969%,6,0,6,0,0,0
_printf_llx.o,0.006969%,6,0,6,0,0,0
_printf_llu.o,0.006969%,6,0,6,0,0,0
_printf_llo.o,0.006969%,6,0,6,0,0,0
_printf_lli.o,0.006969%,6,0,6,0,0,0
_printf_lld.o,0.006969%,6,0,6,0,0,0
_printf_lc.o,0.006969%,6,0,6,0,0,0
_printf_i.o,0.006969%,6,0,6,0,0,0
_printf_g.o,0.006969%,6,0,6,0,0,0
_printf_f.o,0.006969%,6,0,6,0,0,0
_printf_e.o,0.006969%,6,0,6,0,0,0
_printf_d.o,0.006969%,6,0,6,0,0,0
_printf_c.o,0.006969%,6,0,6,0,0,0
_printf_a.o,0.006969%,6,0,6,0,0,0
__rtentry4.o,0.006969%,6,0,6,0,0,0
printf2.o,0.004646%,4,0,4,0,0,0
printf1.o,0.004646%,4,0,4,0,0,0
_printf_percent_end.o,0.004646%,4,0,4,0,0,0
stm32f1xx_hal_tim_ex.o,0.004646%,4,0,4,0,0,0
use_no_semi_2.o,0.002323%,2,0,2,0,0,0
use_no_semi.o,0.002323%,2,0,2,0,0,0
rtexit.o,0.002323%,2,0,2,0,0,0
libshutdown2.o,0.002323%,2,0,2,0,0,0
libshutdown.o,0.002323%,2,0,2,0,0,0
libinit.o,0.002323%,2,0,2,0,0,0
